university_name,region,semester,notice_date,application_start_date,application_end_date,url,title,source
가톨릭대학교,경기,2학기,2026-08-03,,,https://www.catholic.ac.kr/ko/campuslife/notice.do?mode=view&articleNo=274446&article.offset=0&articleLimit=10,[학생지원팀]2026학년도 2학기 국가근로장학생 선발 관련 희망근로지 신청 안내(8/7~8/13),대학 공식 게시판 직접 크롤링
서울과학기술대학교,서울,,,,,https://www.seoultech.ac.kr/life/info,학사안내,대학 공식 게시판 직접 크롤링
서울과학기술대학교,서울,,,,,https://www.seoultech.ac.kr/life/info/college/schedule/,학사행정,대학 공식 게시판 직접 크롤링
아주대학교,경기,,2026-06-15,2026-07-01,2026-07-08,https://www.ajou.ac.kr/kr/ajou/notice.do,본문 바로가기,대학 공식 게시판 직접 크롤링
아주대학교,경기,,2026-06-15,2026-07-01,2026-07-08,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=list&srCategoryId1=1,본문 바로가기,대학 공식 게시판 직접 크롤링
아주대학교,경기,2학기,2026-06-15,,,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370361&attachNo=328277,2026학년도 2학기 시간제등록생 모집요강.pdf,대학 공식 게시판 직접 크롤링
아주대학교,경기,2학기,2026-06-15,2026-07-01,2026-07-08,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=370302&article.offset=0&articleLimit=10,[공지] [학사] 2026-2학기 휴학/복학 신청 안내,대학 공식 게시판 직접 크롤링
아주대학교,경기,2학기,2026-06-15,2026-07-01,2026-07-08,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=370361&article.offset=0&articleLimit=10,[공지] [학부] 2026-2학기 시간제등록생 신청 기간 안내(07.01.~07.08.),대학 공식 게시판 직접 크롤링
아주대학교,경기,2학기,2026-07-31,,,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=373030&article.offset=0&articleLimit=10,[공지] [학부] 2026-2학기 시간제등록생 전형 결과 안내,대학 공식 게시판 직접 크롤링
