checked_at,university_name,region,city,title,url,source_type,source_query,notice_date,application_start_date,application_end_date,deadline_status,registration_score,external_score,computer_score,freshness_score,grade,external_applicant_status,computer_course_status,possible_departments,possible_computer_courses,course_evidence_url,course_evidence_text,attachment_urls,matched_keywords,reason,is_new
2026-06-17T13:18:10+09:00,서울과학기술대학교,서울,서울,학사안내,https://m-disciplinary.seoultech.ac.kr/bachelor,대학 공식 게시판 직접 크롤링,미래융합대학 공지,,,,날짜확인필요,-25,0,230,10,C,확인 필요,가능성 높음,,,,,,전기; 대학원; 컴퓨터공학; 컴퓨터공학과; AI; 인공지능; 데이터사이언스; IT,"참고 후보입니다. 등록 관련 점수 -25, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,서울과학기술대학교,서울,서울,MORE VIEW,https://m-disciplinary.seoultech.ac.kr/student/notice/,대학 공식 게시판 직접 크롤링,미래융합대학 공지,2026-05-28,,,날짜확인필요,-25,0,230,10,C,확인 필요,가능성 높음,,,,,,전기; 대학원; 컴퓨터공학; 컴퓨터공학과; AI; 인공지능; 데이터사이언스; IT,"참고 후보입니다. 등록 관련 점수 -25, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,강남대학교,경기,용인,LANGUAGE,https://web.kangnam.ac.kr/menu/board/info/notice.do,대학 공식 게시판 직접 크롤링,공지사항,2026-06-16,2026-06-18,2026-08-31,접수예정,-20,0,170,45,C,확인 필요,가능성 높음,,,,,,1학기; 2학기; 전기; 평생교육원; 캠프; 대학원; 컴퓨터공학; AI; 인공지능; 전산; IT,"참고 후보입니다. 등록 관련 점수 -20, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,강남대학교,경기,용인,모집단위 안내,https://web.kangnam.ac.kr/menu/9bff9ab75286a0ab29b9aa0eaf71ba95.do,대학 공식 게시판 직접 크롤링,공지사항,2026-06-16,,,날짜확인필요,-25,0,225,10,C,확인 필요,가능성 높음,,,,,,전기; 대학원; 컴퓨터공학; 소프트웨어; AI; 인공지능; 데이터사이언스; IT,"참고 후보입니다. 등록 관련 점수 -25, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,강남대학교,경기,용인,학사안내,https://web.kangnam.ac.kr/menu/02be162adc07170ec7ee034097d627e9.do,대학 공식 게시판 직접 크롤링,공지사항,2026-06-16,2026-12-15,2026-01-06,접수예정,-25,0,145,45,C,확인 필요,가능성 높음,,,,,https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=2afcbc7f4672bfdbff0490666e9ac043&encFileSeq=24fd315ea34e7b640819dfe09c4fbfa1; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=2afcbc7f4672bfdbff0490666e9ac043&encFileSeq=ededfd3933e8739012ae8b964b019ce3; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=f8c1b1657842fc94fba6638233def3c1&encFileSeq=0e2320626c44ff34d1bf8e6a0b978432; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=6bac6a359cf2a703fe065194b893d2a0&encFileSeq=449dfb9c65a9523acb07178d114f2b62; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=6bac6a359cf2a703fe065194b893d2a0&encFileSeq=33e191107156b13506b65a014ee97b85; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=6bac6a359cf2a703fe065194b893d2a0&encFileSeq=0c0f2b0a2c22ba7cd2d5f044951a25b7,전기; 대학원; 컴퓨터공학; AI; 인공지능; IT,"참고 후보입니다. 등록 관련 점수 -25, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,강남대학교,경기,용인,학사일정,https://web.kangnam.ac.kr/redirect?url=/menu/02be162adc07170ec7ee034097d627e9.do,대학 공식 게시판 직접 크롤링,공지사항,2026-06-16,2026-12-15,2026-01-06,접수예정,-25,0,145,45,C,확인 필요,가능성 높음,,,,,https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=2afcbc7f4672bfdbff0490666e9ac043&encFileSeq=24fd315ea34e7b640819dfe09c4fbfa1; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=2afcbc7f4672bfdbff0490666e9ac043&encFileSeq=ededfd3933e8739012ae8b964b019ce3; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=f8c1b1657842fc94fba6638233def3c1&encFileSeq=0e2320626c44ff34d1bf8e6a0b978432; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=6bac6a359cf2a703fe065194b893d2a0&encFileSeq=449dfb9c65a9523acb07178d114f2b62; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=6bac6a359cf2a703fe065194b893d2a0&encFileSeq=33e191107156b13506b65a014ee97b85; https://web.kangnam.ac.kr/comm/cmnFile/download.do?encFileGrpSeq=6bac6a359cf2a703fe065194b893d2a0&encFileSeq=0c0f2b0a2c22ba7cd2d5f044951a25b7,전기; 대학원; 컴퓨터공학; AI; 인공지능; IT,"참고 후보입니다. 등록 관련 점수 -25, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,강남대학교,경기,용인,공지사항,https://web.kangnam.ac.kr/redirect?url=/menu/f19069e6134f8f8aa7f689a4a675e66f.do,대학 공식 게시판 직접 크롤링,공지사항,2026-06-16,,,날짜확인필요,0,0,145,10,C,확인 필요,가능성 높음,,,,,,1학기; 2학기; 전기; 대학원; 컴퓨터공학; AI; 인공지능; IT,"참고 후보입니다. 등록 관련 점수 0, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,수원대학교,경기,화성,학사자료실,https://www.suwon.ac.kr/index.html?menuno=736,대학 공식 게시판 직접 크롤링,공지사항,2026-06-17,,2026-06-17,긴급,-25,0,150,35,C,확인 필요,가능성 높음,,,,,,전기; 대학원; 소프트웨어; 사이버보안; 전산; IT; 클라우드,"참고 후보입니다. 등록 관련 점수 -25, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,수원대학교,경기,화성,외국인 유학생 학사 안내,https://www.suwon.ac.kr/index.html?menuno=737,대학 공식 게시판 직접 크롤링,공지사항,2026-06-17,,,날짜확인필요,0,0,35,10,C,확인 필요,가능성 높음,,,,,,AI,"참고 후보입니다. 등록 관련 점수 0, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,수원대학교,경기,화성,교직과공지,https://www.suwon.ac.kr/index.html?menuno=2039,대학 공식 게시판 직접 크롤링,공지사항,2026-06-17,,,날짜확인필요,-40,0,70,10,C,확인 필요,가능성 높음,,,,,,대학원; 전산; IT; 클라우드,"참고 후보입니다. 등록 관련 점수 -40, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,용인대학교,경기,용인,오시는길,https://www.yongin.ac.kr/cmn/sym/mnu/mpm/101080300/htmlMenuView.do,대학 공식 게시판 직접 크롤링,공지사항,2026-06-17,,,날짜확인필요,-15,0,40,10,C,확인 필요,가능성 높음,,,,,,학점은행제; 대학원; 인공지능,"참고 후보입니다. 등록 관련 점수 -15, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,인천대학교,인천,인천,대학전체,https://www.inu.ac.kr/inu/602/subview.do,대학 공식 게시판 직접 크롤링,공지사항,2025-06-11,,,날짜확인필요,15,0,105,10,C,확인 필요,가능성 높음,,,,,https://www.inu.ac.kr/sites/inu/roadmap/01/roadmap01_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/02/roadmap02_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/03/roadmap03_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/04/roadmap04_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/05/roadmap05_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/06/roadmap06_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/07/roadmap07_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/08/roadmap08_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/09/roadmap09_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/10/roadmap10_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/11/roadmap11_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/12/roadmap12_260306.pdf; https://www.inu.ac.kr/sites/inu/roadmap/13/roadmap13_260306.pdf,전기; 컴퓨터공학; IT; 네트워크,"참고 후보입니다. 등록 관련 점수 15, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,인천대학교,인천,인천,사회과학대학,https://www.inu.ac.kr/inu/766/subview.do,대학 공식 게시판 직접 크롤링,공지사항,2025-06-11,,,날짜확인필요,0,0,55,10,C,확인 필요,가능성 높음,,,,,https://www.inu.ac.kr/sites/inu/roadmap/03/roadmap03_260306.pdf,데이터사이언스; IT,"참고 후보입니다. 등록 관련 점수 0, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,인천대학교,인천,인천,정보기술대학,https://www.inu.ac.kr/inu/787/subview.do,대학 공식 게시판 직접 크롤링,공지사항,2025-06-11,,,날짜확인필요,-40,0,230,10,C,확인 필요,가능성 높음,,,,,https://www.inu.ac.kr/sites/inu/roadmap/06/roadmap06_260306.pdf,대학원; 컴퓨터공학; 소프트웨어; 인공지능; IT; 데이터베이스; 네트워크,"참고 후보입니다. 등록 관련 점수 -40, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,인천대학교,인천,인천,사범대학,https://www.inu.ac.kr/inu/803/subview.do,대학 공식 게시판 직접 크롤링,공지사항,2025-06-11,,,날짜확인필요,0,0,55,10,C,확인 필요,가능성 높음,,,,,https://www.inu.ac.kr/sites/inu/roadmap/09/roadmap09_260306.pdf,AI; IT,"참고 후보입니다. 등록 관련 점수 0, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,인천대학교,인천,인천,동북아국제통상물류학부,https://www.inu.ac.kr/inu/824/subview.do,대학 공식 게시판 직접 크롤링,공지사항,2025-06-11,,,날짜확인필요,0,0,80,10,C,확인 필요,가능성 높음,,,,,https://www.inu.ac.kr/sites/inu/roadmap/12/roadmap12_260306.pdf,빅데이터; 데이터분석; IT,"참고 후보입니다. 등록 관련 점수 0, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
